formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C10H22N2O7	[M + H]+	C10H23N2O7+	Amino acids and Peptides	0.727	Mycosporine derivatives	0.490	Mycosporine and Mycosporine-like amino acids	0.488	Organic acids and derivatives	0.735	Carboxylic acids and derivatives	0.715	Amino acids, peptides, and analogues	0.532	Amino acids and derivatives	0.534	Amino acids and derivatives	0.534	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Secondary alcohols; Carbonyl compounds; Polyols; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283.148	283	4.712	703058082176885379	703045690784805901	1565	
1	C27H54O12	[M + H]+	C27H55O12+	Fatty acids	0.813	Glycerolipids	0.774	Monoacylglycerols	0.234	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.995	Dialkyl ethers	0.995	Polyethylene glycols	0.716	Organic compounds; Alcohols and polyols; Glycerolipids; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Glycerol ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	571.368	283	4.712	703058094403281765	703045690881274903	1569	
1	C28H53N5O8	[M + H]+	C28H54N5O8+	Amino acids and Peptides	0.305	Fatty amides	0.510	Tripeptides	0.306	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.985	Amino acids, peptides, and analogues	0.920	Peptides	0.522	Peptides	0.522	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Dialkyl ethers; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	588.395	283	4.712	703058074656497687	703045690931606556	1570	
3	C29H52O12	[M + H]+	C29H53O12+	Polyketides	0.753	Macrolides	0.356	Open-chain polyketides	0.144	Lipids and lipid-like molecules	0.768	Fatty Acyls	0.686	Fatty acid esters	0.685			Fatty acid esters	0.685	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	593.350	283	4.712	703058073838608350	703045690973549601	1571	
1	C14H29NO2	[M + H]+	C14H30NO2+	Amino acids and Peptides	0.576	Small peptides	0.831	Aminoacids	0.874	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Amino acids and derivatives	1.000	Alpha amino acids	0.986	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Dialkylamines; Alpha amino acids; Amines; Secondary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	244.227	284	4.732	703058076174836010	703045691011298342	1572	
1	C13H22N4O3	[M + Na]+	C13H22N4NaO3+	Alkaloids	0.805	Nicotinic acid alkaloids	0.130	Pyridine alkaloids	0.130	Organoheterocyclic compounds	0.905	Pyridines and derivatives	0.617					Pyridines and derivatives	0.617	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.161	284	4.736	703058131845836141	703045691044852779	1573	
5	C11H18N2O4	[M + H]+	C11H19N2O4+	Amino acids and Peptides	0.701	Small peptides	0.718	Aminoacids	0.433	Organic acids and derivatives	0.803	Carboxylic acids and derivatives	0.707	Amino acids, peptides, and analogues	0.551	Amino acids and derivatives	0.552	Amino acids and derivatives	0.552	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	243.133	284	4.740	703058131367685437	703045691304899662	1580	
1	C17H37NO4S	[M + H]+	C17H38NO4S+	Fatty acids	0.889	Fatty amides	0.224	N-acyl amines	0.315	Organic acids and derivatives	0.999	Organic sulfonic acids and derivatives	0.996	Organosulfonic acids and derivatives	0.996	Alkanesulfonic acids and derivatives	0.992	Alkanesulfonic acids	0.988	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	352.251	285	4.746	703058121141970983	703045691338454099	1581	
1	C29H51NO3	[M + Na]+	C29H51NNaO3+	Fatty acids	0.420	Pseudoalkaloids (transamidation)	0.177	N-acyl ethanolamines (endocannabinoids)	0.036	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.981	Tertiary amines	0.781	Trialkylamines	0.786	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Trialkylamines; Amines; Tertiary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	484.373	285	4.749	703058125277555162	703045691200042047	1577	
1	C17H37NO4S	[M + Na]+	C17H37NNaO4S+	Fatty acids	0.992	Fatty amides	0.960	N-acyl amines	0.951	Lipids and lipid-like molecules	0.759	Fatty Acyls	0.754	Fatty amides	0.738	N-acyl amines	0.805	N-acyl amines	0.805	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Sulfonyls; Organosulfonic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	374.234	285	4.751	703058109523748321	703045691233596484	1578	
1	C10H20NO3P	[M + H]+	C10H21NO3P+	Alkaloids	0.258	Pseudoalkaloids (transamidation)	0.242	Aminoacids	0.018	Organic acids and derivatives	0.627	Organic phosphonic acids and derivatives	0.628	Organic phosphonic acids	0.562			Organic phosphonic acids	0.562	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	234.127	285	4.751	703058130977615110	703045691376202840	1582	
1	C30H57N5O9	[M + H]+	C30H58N5O9+	Amino acids and Peptides	0.779	Oligopeptides	0.631	Tripeptides	0.174	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.920	Peptides	0.714	Peptides	0.714	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	632.421	285	4.751	703058129316670637	703045691162293306	1576	
1	C29H58O13	[M + H]+	C29H59O13+	Fatty acids	0.603	Glycerolipids	0.444	Monoacylglycerols	0.115	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.977	Dialkyl ethers	0.976	Polyethylene glycols	0.760	Organic compounds; Alcohols and polyols; Glycerolipids; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	615.395	285	4.751	703058188997425028	703045691439117410	1584	
2	C32H52N4O9	[M + H]+	C32H53N4O9+	Amino acids and Peptides	0.874	Oligopeptides	0.982	Depsipeptides	0.224	Organic acids and derivatives	0.999	Peptidomimetics	0.502	Depsipeptides	0.548	Cyclic depsipeptides	0.597	Cyclic depsipeptides	0.597	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Macrolide lactams; Depsipeptides; Cyclic depsipeptides; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	637.376	285	4.751	703058165991666754	703045691472671847	1585	
1	C20H41NO6	[M + H]+	C20H42NO6+	Fatty acids	0.967	Fatty amides	0.521	N-acyl amines	0.399	Organic acids and derivatives	0.977	Carboxylic acids and derivatives	0.965	Amino acids, peptides, and analogues	0.555	Amino acids and derivatives	0.552	Amino acids and derivatives	0.552	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	392.300	285	4.752	703058160534876579	703045691128738869	1575	
1	C16H26N2O3S	[M + H]+	C16H27N2O3S+	Amino acids and Peptides	0.454	Linear polyketides	0.410	Imidazole alkaloids	0.222	Organic acids and derivatives	0.761	Carboxylic acids and derivatives	0.626					Carboxylic acids and derivatives	0.626	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	327.174	286	4.759	703058156193771722	703045691409757277	1583	
2	C38H61NO9	[M + H]+	C38H62NO9+	Polyketides	0.602	Linear polyketides	0.588	Open-chain polyketides	0.444	Lipids and lipid-like molecules	0.793	Fatty Acyls	0.774	Fatty amides	0.573			Fatty amides	0.573	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	676.447	286	4.775	703058164582380275	703045691535586417	1587	
2	C31H62O14	[M + Na]+	C31H62NaO14+	Fatty acids	0.642	Fatty acyls	0.318	Fatty alcohols	0.263	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.807	Dialkyl ethers	0.786	Polyethylene glycols	0.728	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Polyethylene glycols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	681.403	286	4.775	703058173579162982	703045691564946550	1588	
1	C19H38N2O4	[M + H]+	C19H39N2O4+	Fatty acids	0.987	Fatty amides	0.946	N-acyl amines	0.747	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.990	Amino acids, peptides, and analogues	0.766	Amino acids and derivatives	0.760	N-acyl-alpha amino acids and derivatives	0.501	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	359.289	288	4.794	703058174858425833	703045691623666816	1590	
1	C35H64O15	[M + H]+	C35H65O15+	Polyketides	0.457	Macrolides	0.260	Open-chain polyketides	0.257	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.827	Glycosyl compounds	0.660	O-glycosyl compounds	0.719	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	725.429	288	4.798	703058196169685366	703045691694969989	1591	
5	C21H45NO7	[M + K]+	C21H45KNO7+	Fatty acids	0.754	Pseudoalkaloids (transamidation)	0.159	Sphingoid bases	0.061	Organic oxygen compounds	0.999	Organooxygen compounds	0.998	Ethers	0.993	Dialkyl ethers	0.990	Dialkyl ethers	0.990	Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	462.282	289	4.816	703058221557808555	703045691963405470	1599	
1	C18H37NO3	[M + H]+	C18H38NO3+	Fatty acids	0.999	Spingolipids	0.999	Sphingoid bases	1.000	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.997	Alkanolamines	0.967	1,3-aminoalcohols	0.617	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Secondary alcohols; 1,3-aminoalcohols; 1,2-aminoalcohols; Polyols; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	316.285	289	4.825	703058222652522051	703045691745301642	1592	
1	C16H33NO2	[M + H]+	C16H34NO2+	Fatty acids	0.643	Small peptides	0.340	Aminoacids	0.404	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.973	Amino acids and derivatives	0.973	Alpha amino acid esters	0.788	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	272.259	290	4.826	703058220379209091	703045692156343479	1612	
1	C22H41N9O6	[M + H]+	C22H42N9O6+	Carbohydrates	0.644	Nucleosides	0.241	Tripeptides	0.265	Organic oxygen compounds	1.000	Organooxygen compounds	0.997	Ethers	0.652	Dialkyl ethers	0.661	Dialkyl ethers	0.661	Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	528.321	290	4.835	703058237676519449	703045692374447317	1618	
1	C16H33NO3	[M + H]+	C16H34NO3+	Fatty acids	0.996	Fatty amides	0.997	N-acyl ethanolamines (endocannabinoids)	0.997	Lipids and lipid-like molecules	0.943	Fatty Acyls	0.956	Fatty amides	0.957	N-acyl amines	0.968	N-acyl amines	0.968	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	288.253	290	4.836	703058196828191234	703045691896296601	1597	
3	C25H51O7P	[M + Na]+	C25H51NaO7P+	Fatty acids	0.622	Monoterpenoids	0.085	Monocyclic monoterpenoids	0.029	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.990	Dialkyl ethers	0.990	Dialkyl ethers	0.990	Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	517.328	290	4.840	703058228012842803	703045692227646657	1614	
3	C50H78N2O7	[M + K]+	C50H78KN2O7+	Polyketides	0.563	Oligopeptides	0.881	Lipopeptides	0.407	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.990	Amino acids, peptides, and analogues	0.902	Amino acids and derivatives	0.895	Alpha amino acid esters	0.606	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Macrolides and analogues; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Macrolide lactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	857.544	290	4.840	703058216046492912	703045692269589702	1615	
1	C52H76N4O9	[M + H]+	C52H77N4O9+	Polyketides	0.921	Oligopeptides	0.999	Depsipeptides	0.941	Organic acids and derivatives	1.000	Peptidomimetics	0.928	Depsipeptides	0.872	Cyclic depsipeptides	0.874	Cyclic depsipeptides	0.874	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Macrolides and analogues; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Macrolide lactams; Depsipeptides; Cyclic depsipeptides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	901.570	290	4.840	703058222329560555	703045692303144139	1616	
1	C46H82N8O11	[M + Na]+	C46H82N8NaO11+	Amino acids and Peptides	0.860	Oligopeptides	0.995	Lipopeptides	0.585	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.988	Amino acids and derivatives	0.983	Alpha amino acid esters	0.527	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	945.596	290	4.840	703058202322729664	703045692336698576	1617	
2	C47H72O11	[M + H]+	C47H73O11+	Polyketides	0.986	Polyethers	0.783	Polyether ionophores	0.364	Phenylpropanoids and polyketides	0.435	Macrolides and analogues	0.680					Macrolides and analogues	0.680	Organic compounds; Organoheterocyclic compounds; Lactones; Alcohols and polyols; Macrolides and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	813.517	290	4.840	703058246253871391	703045692412196058	1619	
3	C45H68O10	[M + H]+	C45H69O10+	Polyketides	0.996	Polyethers	0.845	Open-chain polyketides	0.711	Lipids and lipid-like molecules	0.766	Fatty Acyls	0.688					Fatty Acyls	0.688	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Oxanes; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	769.491	290	4.840	703058248833368531	703045692445750495	1620	
1	C26H50O11	[M + H]+	C26H51O11+	Fatty acids	0.560	Glycerolipids	0.094	Fatty alcohols	0.064	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.993	Dialkyl ethers	0.994	Polyethylene glycols	0.904	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	539.341	290	4.840	703058284447205656	703045692521247977	1623	
2	C41H66O9	[M + Na]+	C41H66NaO9+	Polyketides	0.386	Polyethers	0.488	Carotenoids (C40, Ψ-Ψ)	0.148	Lipids and lipid-like molecules	0.698	Prenol lipids	0.600					Prenol lipids	0.600	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organooxygen compounds; Dialkyl ethers; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	725.465	290	4.840	703058262808789785	703045692600939763	1625	
1	C17H37N5O8	[M + H]+	C17H38N5O8+	Carbohydrates	0.762	Aminosugars and aminoglycosides	0.697	Aminoglycosides	0.637	Organic oxygen compounds	1.000	Organooxygen compounds	0.992	Ethers	0.682	Acetals	0.575	Acetals	0.575	Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Acetals; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	440.268	291	4.846	703058287832009186	703045691778856079	1594	
2	C25H41NO8	[M + H]+	C25H42NO8+	Polyketides	0.650	Linear polyketides	0.851	Open-chain polyketides	0.734	Lipids and lipid-like molecules	0.717	Fatty Acyls	0.563					Fatty Acyls	0.563	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	484.294	291	4.846	703058284363319551	703045692009542819	1605	
1	C24H39N7O5	[M + H]+	C24H40N7O5+	Amino acids and Peptides	0.534	Oligopeptides	0.299	Purine nucleosides	0.056	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999	Amines	0.978	Tertiary amines	0.678	Dialkylarylamines	0.749	Organic compounds; Organoheterocyclic compounds; Triazines; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Aminotriazines; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Dialkylarylamines; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; 1,3,5-triazine-2,4-diamines; Chemical entities	506.308	291	4.846	703058314348399771	703045692118594738	1611	
6	C31H54O6	[M + K]+	C31H54KO6+	Terpenoids	0.395	Glycerolipids	0.206	Open-chain polyketides	0.035	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.982	Dialkyl ethers	0.989	Dialkyl ethers	0.989	Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	561.354	291	4.846	703058310535777094	703045692638688504	1631	
